id;created_at;user_id;username;name;tweet;geo;nama_tempat;label
1442870000000000000;2021-09-28 21:56:36 SE Asia Standard Time;59296363;iratiara;Ira Tiara Kencana;Vaksin COVID-19 pertama, Pfizer... #vaksincovid19 #bandung  https://t.co/Wxe4zBd2Pb;-7.07422035411501,106.7054569721624;Sukabumi;2
1442700000000000000;2021-09-28 10:45:17 SE Asia Standard Time;1930235365;biofarmaid;Bio Farma;Kinerja keuangan Holding BUMN Farmasi pada semester I-2021 melonjak 164% (yoy) menjadi Rp 15,26 triliun dengan adanya penugasan dari pemerintah untuk penanganan Covid-19 seperti penyediaan vaksin Covid-19, obat-obatan, multivitamin, serta alat kesehatan.  #KinerjaBUMNFarmasi  https://t.co/EvS1ZzswIq;-7.07422035411501,106.7054569721624;Sukabumi;1
1442340000000000000;2021-09-27 11:01:25 SE Asia Standard Time;428696660;ciani_l;Memo Muslimah;Halloo apa kabar? Gimana nih, udah pada vaksin covid-19 dong? Setelah pemerintah memastikan stok vaksin aman, daerah kalian pasti udah mudah kan cari informasi terkait vaksinasi? #standarprokesglobal;-7.07422035411501,106.7054569721624;Sukabumi;2
1440490000000000000;2021-09-22 08:51:17 SE Asia Standard Time;1390000000000000000;jayaglobalprt;PT.JAYA GLOBAL PRATAMA;Kami mendukung program pemerintah dalam penanganan pandemi Covid-19 , JGP telah melaksanakan vaksin tahap ke-2 bagi seluruh karyawan lapangan maupun office   Dengan begitu kami harap dapat memberikan layanan lebih baik lagi kepada client,  https://t.co/TgcJnWCPqa;-7.07422035411501,106.7054569721624;Sukabumi;1
1439930000000000000;2021-09-20 19:16:43 SE Asia Standard Time;1930235365;biofarmaid;Bio Farma;Vaksin Covid-19 yang dipergunakan di Indonesia telah memiliki izin penggunaan darurat dari Badan POM untuk memasutikan keamanan dan kualitasnya  Tetap memakai masker, vaksinasi dan tetap dengan protokol kesehatan  yaa Biotizen! #biofarma #VaksinasiCovid19  https://t.co/KFHGmnLT9L;-7.07422035411501,106.7054569721624;Sukabumi;1
1438000000000000000;2021-09-15 11:46:28 SE Asia Standard Time;1930235365;biofarmaid;Bio Farma;Pakai Masker dan Vaksin ya #Biotizen, dan kita lawan penyebaran Covid-19   #pakaimasker #vaksinasi #vaksincovid19 #jokowi #biofarma  https://t.co/WJuFDbY7Ks;-7.07422035411501,106.7054569721624;Sukabumi;1
1437280000000000000;2021-09-13 12:14:33 SE Asia Standard Time;77976338;panah_bintangku;ðŸŒ¿siswiyantisugiðŸŒ¿;Sejak pemerintah melakukan program vaksinasi masif, gelap itu menjadi terang. Harapan membuncah di dada. Kita memang harus siap hidup berdampingan dengan Covid-19, tapi kita tetap berdaya. Ada vaksin dan kesadaran prokes yg mendarah daging.  https://t.co/b65FhuBYMz;-7.07422035411501,106.7054569721624;Sukabumi;1
1434340000000000000;2021-09-05 09:13:17 SE Asia Standard Time;864604764;ubsi_tasik;Universitas BSI Tasikmalaya;PELAKSANAAN VAKSINASI COVID-19 DI SENTRA VAKSIN UBSI KAMPUS KALIABANG BEKERJASAMA DENGAN ALUMNI AKPOL 95.  Demi mendukung program pemerintah dalam mencegah penyebaran dan peningkatan kasus Covid-19 di Indonesia, Universitas Bina Sarana Informatika (UBSI)  https://t.co/9PBeMgs7Bs  https://t.co/DvAs4M563x;-7.07422035411501,106.7054569721624;Sukabumi;1
1433630000000000000;2021-09-03 10:19:18 SE Asia Standard Time;2787188622;dinsosdki1;Dinsos DKI Jakarta;Panti Sosial Tresna Werdha (PSTW) Budi Mulia 1 Ciracas terus berupaya mencegah penyebaran COVID-19, terutama kepada warga binaan, yang merupakan lansia yang  masuk dalam kelompok usia rentan. Selain menerapkan protokol kesehatan, upaya lainnya adalah pemberian vaksin.  https://t.co/ft0cpmftNy;-7.07422035411501,106.7054569721624;Sukabumi;1
1431490000000000000;2021-08-28 12:51:19 SE Asia Standard Time;177408269;ilonkpanjava;Jamaluddin Bin Mansyur, S.H;@lionairgroup Jika belum vaksin Covid-19, karena ada penyakit dalam seperti Maag kronis. Apakah syarat untuk melakukan penerbangan?;-7.07422035411501,106.7054569721624;Sukabumi;2
